congress,senator_name,senator_state,senator_party
95th,Max Baucus,Montana,Democratic
95th,Paul G. Hatfield,Montana,Democratic
95th,Carl Curtis,Nebraska,Republican
95th,Edward Zorinsky,Nebraska,Democratic
95th,Howard Cannon,Nevada,Democratic
95th,Paul Laxalt,Nevada,Republican
95th,John Durkin,New Hampshire,Democratic
95th,Thomas J. McIntyre,New Hampshire,Democratic
95th,Clifford P. Case,New Jersey,Republican
95th,Harrison A. Williams,New Jersey,Democratic
95th,Harrison Schmitt,New Mexico,Republican
95th,Pete Domenici,New Mexico,Republican
95th,Jacob K. Javits,New York,Republican
95th,Pat Moynihan,New York,Democratic
95th,Jesse Helms,North Carolina,Republican
95th,Robert Burren Morgan,North Carolina,Democratic
95th,Milton Young,North Dakota,Republican
95th,Quentin Northrup Burdick,North Dakota,Democratic
95th,Howard Metzenbaum,Ohio,Democratic
95th,John Glenn,Ohio,Democratic
95th,Dewey F. Bartlett,Oklahoma,Republican
95th,Henry Bellmon,Oklahoma,Republican
95th,Bob Packwood,Oregon,Republican
95th,Mark Hatfield,Oregon,Republican
95th,H. John Heinz III,Pennsylvania,Republican
95th,Richard Schweiker,Pennsylvania,Republican
95th,Claiborne Pell,Rhode Island,Democratic
95th,John Chafee,Rhode Island,Republican
95th,Ernest Hollings,South Carolina,Democratic
95th,Strom Thurmond,South Carolina,Republican
95th,George McGovern,South Dakota,Democratic
95th,James Abourezk,South Dakota,Democratic
95th,Howard Baker,Tennessee,Republican
95th,Jim Sasser,Tennessee,Democratic
95th,John Tower,Texas,Republican
95th,Lloyd Bentsen,Texas,Democratic
95th,Jake Garn,Utah,Republican
95th,Orrin Hatch,Utah,Republican
95th,Patrick Leahy,Vermont,Democratic
95th,Robert Stafford,Vermont,Republican
95th,"Harry F. Byrd, Jr.",Virginia,Independent
95th,John Warner,Virginia,Republican
95th,William L. Scott,Virginia,Republican
95th,Henry M. Jackson,Washington,Democratic
95th,Warren G. Magnuson,Washington,Democratic
95th,Jennings Randolph,West Virginia,Democratic
95th,Robert Byrd,West Virginia,Democratic
95th,Gaylord Nelson,Wisconsin,Democratic
95th,William Proxmire,Wisconsin,Democratic
95th,Alan K. Simpson,Wyoming,Republican
95th,Clifford Hansen,Wyoming,Republican
95th,Malcolm Wallop,Wyoming,Republican
94th,James Allen,Alabama,Democratic
94th,John Sparkman,Alabama,Democratic
94th,Mike Gravel,Alaska,Democratic
94th,Ted Stevens,Alaska,Republican
94th,Barry Goldwater,Arizona,Republican
94th,Paul Fannin,Arizona,Republican
94th,Dale Bumpers,Arkansas,Democratic
94th,John Little McClellan,Arkansas,Democratic
94th,Alan Cranston,California,Democratic
94th,John V. Tunney,California,Democratic
94th,Samuel Hayakawa,California,Republican
94th,Floyd K. Haskell,Colorado,Democratic
94th,Gary Hart,Colorado,Democratic
94th,Abraham A. Ribicoff,Connecticut,Democratic
94th,Lowell Weicker,Connecticut,Republican
94th,Bill Roth,Delaware,Republican
94th,Joe Biden,Delaware,Democratic
94th,Lawton Chiles,Florida,Democratic
94th,Richard Stone,Florida,Democratic
94th,Herman Talmadge,Georgia,Democratic
94th,Sam Nunn,Georgia,Democratic
94th,Daniel Inouye,Hawaii,Democratic
94th,Hiram Fong,Hawaii,Republican
94th,Frank Church,Idaho,Democratic
94th,James A. McClure,Idaho,Republican
94th,Adlai Stevenson III,Illinois,Democratic
94th,Charles H. Percy,Illinois,Republican
94th,Birch Bayh,Indiana,Democratic
94th,Vance Hartke,Indiana,Democratic
94th,John Culver,Iowa,Democratic
94th,Richard C. Clark,Iowa,Democratic
94th,Bob Dole,Kansas,Republican
94th,James B. Pearson,Kansas,Republican
94th,Walter Huddleston,Kentucky,Democratic
94th,Wendell H. Ford,Kentucky,Democratic
94th,Bennett Johnston Jr.,Louisiana,Democratic
94th,Russell B. Long,Louisiana,Democratic
94th,Edmund Muskie,Maine,Democratic
94th,William Hathaway,Maine,Democratic
94th,Charles Mathias,Maryland,Republican
94th,"John Glenn Beall, Jr.",Maryland,Republican
94th,Edward Brooke,Massachusetts,Republican
94th,Ted Kennedy,Massachusetts,Democratic
94th,"Donald W. Riegle, Jr.",Michigan,Democratic
94th,Philip Hart,Michigan,Democratic
94th,Robert P. Griffin,Michigan,Republican
94th,Hubert Humphrey,Minnesota,Democratic
94th,Walter Mondale,Minnesota,Democratic
94th,Wendell Anderson,Minnesota,Democratic
94th,James Eastland,Mississippi,Democratic
94th,John C. Stennis,Mississippi,Democratic
94th,John Danforth,Missouri,Republican
94th,Stuart Symington,Missouri,Democratic
94th,Thomas Eagleton,Missouri,Democratic
94th,Lee Metcalf,Montana,Democratic
94th,Mike Mansfield,Montana,Democratic
94th,Carl Curtis,Nebraska,Republican
94th,Edward Zorinsky,Nebraska,Democratic
94th,Roman Hruska,Nebraska,Republican
94th,Howard Cannon,Nevada,Democratic
94th,Paul Laxalt,Nevada,Republican
94th,John Durkin,New Hampshire,Democratic
94th,Norris Cotton,New Hampshire,Republican
94th,Thomas J. McIntyre,New Hampshire,Democratic
94th,Clifford P. Case,New Jersey,Republican
94th,Harrison A. Williams,New Jersey,Democratic
94th,Joseph Montoya,New Mexico,Democratic
94th,Pete Domenici,New Mexico,Republican
94th,Jacob K. Javits,New York,Republican
94th,James L. Buckley,New York,C/R
94th,Jesse Helms,North Carolina,Republican
94th,Robert Burren Morgan,North Carolina,Democratic
94th,Milton Young,North Dakota,Republican
94th,Quentin Northrup Burdick,North Dakota,Democratic
94th,Howard Metzenbaum,Ohio,Democratic
94th,John Glenn,Ohio,Democratic
94th,"Robert Taft, Jr.",Ohio,Republican
94th,Dewey F. Bartlett,Oklahoma,Republican
94th,Henry Bellmon,Oklahoma,Republican
94th,Bob Packwood,Oregon,Republican
94th,Mark Hatfield,Oregon,Republican
94th,Hugh Scott,Pennsylvania,Republican
94th,Richard Schweiker,Pennsylvania,Republican
94th,Claiborne Pell,Rhode Island,Democratic
94th,John Chafee,Rhode Island,Republican
94th,John O. Pastore,Rhode Island,Democratic
94th,Ernest Hollings,South Carolina,Democratic
94th,Strom Thurmond,South Carolina,Republican
94th,George McGovern,South Dakota,Democratic
94th,James Abourezk,South Dakota,Democratic
94th,Bill Brock,Tennessee,Republican
94th,Howard Baker,Tennessee,Republican
94th,John Tower,Texas,Republican
94th,Lloyd Bentsen,Texas,Democratic
94th,Frank Moss,Utah,Democratic
94th,Jake Garn,Utah,Republican
94th,Patrick Leahy,Vermont,Democratic
94th,Robert Stafford,Vermont,Republican
94th,"Harry F. Byrd, Jr.",Virginia,Independent
94th,William L. Scott,Virginia,Republican
94th,Henry M. Jackson,Washington,Democratic
94th,Warren G. Magnuson,Washington,Democratic
94th,Jennings Randolph,West Virginia,Democratic
94th,Robert Byrd,West Virginia,Democratic
94th,Gaylord Nelson,Wisconsin,Democratic
94th,William Proxmire,Wisconsin,Democratic
94th,Clifford Hansen,Wyoming,Republican
94th,Gale W. McGee,Wyoming,Democratic
93rd,James Allen,Alabama,Democratic
93rd,John Sparkman,Alabama,Democratic
93rd,Mike Gravel,Alaska,Democratic
93rd,Ted Stevens,Alaska,Republican
93rd,Barry Goldwater,Arizona,Republican
93rd,Paul Fannin,Arizona,Republican
93rd,J. William Fulbright,Arkansas,Democratic
93rd,John Little McClellan,Arkansas,Democratic
93rd,Alan Cranston,California,Democratic
93rd,John V. Tunney,California,Democratic
93rd,Floyd K. Haskell,Colorado,Democratic
93rd,Peter H. Dominick,Colorado,Republican
93rd,Abraham A. Ribicoff,Connecticut,Democratic
93rd,Lowell Weicker,Connecticut,Republican
93rd,Bill Roth,Delaware,Republican
93rd,Joe Biden,Delaware,Democratic
93rd,Edward J. Gurney,Florida,Republican
93rd,Lawton Chiles,Florida,Democratic
93rd,Richard Stone,Florida,Democratic
93rd,Herman Talmadge,Georgia,Democratic
93rd,Sam Nunn,Georgia,Democratic
93rd,Daniel Inouye,Hawaii,Democratic
93rd,Hiram Fong,Hawaii,Republican
93rd,Frank Church,Idaho,Democratic
93rd,James A. McClure,Idaho,Republican
93rd,Adlai Stevenson III,Illinois,Democratic
93rd,Charles H. Percy,Illinois,Republican
93rd,Birch Bayh,Indiana,Democratic
93rd,Vance Hartke,Indiana,Democratic
93rd,Harold Hughes,Iowa,Democratic
93rd,Richard C. Clark,Iowa,Democratic
93rd,Bob Dole,Kansas,Republican
93rd,James B. Pearson,Kansas,Republican
93rd,Marlow Cook,Kentucky,Republican
93rd,Walter Huddleston,Kentucky,Democratic
93rd,Wendell H. Ford,Kentucky,Democratic
93rd,Bennett Johnston Jr.,Louisiana,Democratic
93rd,Russell B. Long,Louisiana,Democratic
93rd,Edmund Muskie,Maine,Democratic
93rd,William Hathaway,Maine,Democratic
93rd,Charles Mathias,Maryland,Republican
93rd,"John Glenn Beall, Jr.",Maryland,Republican
93rd,Edward Brooke,Massachusetts,Republican
93rd,Ted Kennedy,Massachusetts,Democratic
93rd,Philip Hart,Michigan,Democratic
93rd,Robert P. Griffin,Michigan,Republican
93rd,Hubert Humphrey,Minnesota,Democratic
93rd,Walter Mondale,Minnesota,Democratic
93rd,James Eastland,Mississippi,Democratic
93rd,John C. Stennis,Mississippi,Democratic
93rd,Stuart Symington,Missouri,Democratic
93rd,Thomas Eagleton,Missouri,Democratic
93rd,Lee Metcalf,Montana,Democratic
93rd,Mike Mansfield,Montana,Democratic
93rd,Carl Curtis,Nebraska,Republican
93rd,Roman Hruska,Nebraska,Republican
93rd,Alan Bible,Nevada,Democratic
93rd,Howard Cannon,Nevada,Democratic
93rd,Paul Laxalt,Nevada,Republican
93rd,Louis C. Wyman,New Hampshire,Republican
93rd,Norris Cotton,New Hampshire,Republican
93rd,Thomas J. McIntyre,New Hampshire,Democratic
93rd,Clifford P. Case,New Jersey,Republican
93rd,Harrison A. Williams,New Jersey,Democratic
93rd,Joseph Montoya,New Mexico,Democratic
93rd,Pete Domenici,New Mexico,Republican
93rd,Jacob K. Javits,New York,Republican
93rd,James L. Buckley,New York,C/R
93rd,Jesse Helms,North Carolina,Republican
93rd,Sam Ervin,North Carolina,Democratic
93rd,Milton Young,North Dakota,Republican
93rd,Quentin Northrup Burdick,North Dakota,Democratic
93rd,Howard Metzenbaum,Ohio,Democratic
93rd,John Glenn,Ohio,Democratic
93rd,"Robert Taft, Jr.",Ohio,Republican
93rd,William B. Saxbe,Ohio,Republican
93rd,Dewey F. Bartlett,Oklahoma,Republican
93rd,Henry Bellmon,Oklahoma,Republican
93rd,Bob Packwood,Oregon,Republican
93rd,Mark Hatfield,Oregon,Republican
93rd,Hugh Scott,Pennsylvania,Republican
93rd,Richard Schweiker,Pennsylvania,Republican
93rd,Claiborne Pell,Rhode Island,Democratic
93rd,John O. Pastore,Rhode Island,Democratic
93rd,Ernest Hollings,South Carolina,Democratic
93rd,Strom Thurmond,South Carolina,Republican
93rd,George McGovern,South Dakota,Democratic
93rd,James Abourezk,South Dakota,Democratic
93rd,Bill Brock,Tennessee,Republican
93rd,Howard Baker,Tennessee,Republican
93rd,John Tower,Texas,Republican
93rd,Lloyd Bentsen,Texas,Democratic
93rd,Frank Moss,Utah,Democratic
93rd,Jake Garn,Utah,Republican
93rd,Wallace F. Bennett,Utah,Republican
93rd,George Aiken,Vermont,Republican
93rd,Robert Stafford,Vermont,Republican
93rd,"Harry F. Byrd, Jr.",Virginia,Independent
93rd,William L. Scott,Virginia,Republican
93rd,Henry M. Jackson,Washington,Democratic
93rd,Warren G. Magnuson,Washington,Democratic
93rd,Jennings Randolph,West Virginia,Democratic
93rd,Robert Byrd,West Virginia,Democratic
93rd,Gaylord Nelson,Wisconsin,Democratic
93rd,William Proxmire,Wisconsin,Democratic
93rd,Clifford Hansen,Wyoming,Republican
93rd,Gale W. McGee,Wyoming,Democratic
92nd,James Allen,Alabama,Democratic
92nd,John Sparkman,Alabama,Democratic
92nd,Mike Gravel,Alaska,Democratic
92nd,Ted Stevens,Alaska,Republican
92nd,Barry Goldwater,Arizona,Republican
92nd,Paul Fannin,Arizona,Republican
92nd,J. William Fulbright,Arkansas,Democratic
92nd,John Little McClellan,Arkansas,Democratic
92nd,Alan Cranston,California,Democratic
92nd,John V. Tunney,California,Democratic
92nd,Gordon L. Allott,Colorado,Republican
92nd,Peter H. Dominick,Colorado,Republican
92nd,Abraham A. Ribicoff,Connecticut,Democratic
92nd,Lowell Weicker,Connecticut,Republican
92nd,Bill Roth,Delaware,Republican
92nd,James Boggs,Delaware,Republican
92nd,Edward J. Gurney,Florida,Republican
92nd,Lawton Chiles,Florida,Democratic
92nd,David H. Gambrell,Georgia,Democratic
92nd,Herman Talmadge,Georgia,Democratic
92nd,"Richard Russell, Jr.",Georgia,Democratic
92nd,Sam Nunn,Georgia,Democratic
92nd,Daniel Inouye,Hawaii,Democratic
92nd,Hiram Fong,Hawaii,Republican
92nd,Frank Church,Idaho,Democratic
92nd,Leonard B. Jordan,Idaho,Republican
92nd,Adlai Stevenson III,Illinois,Democratic
92nd,Charles H. Percy,Illinois,Republican
92nd,Birch Bayh,Indiana,Democratic
92nd,Vance Hartke,Indiana,Democratic
92nd,Harold Hughes,Iowa,Democratic
92nd,Jack Miller,Iowa,Republican
92nd,Bob Dole,Kansas,Republican
92nd,James B. Pearson,Kansas,Republican
92nd,John Sherman Cooper,Kentucky,Republican
92nd,Marlow Cook,Kentucky,Republican
92nd,Allen J. Ellender,Louisiana,Democratic
92nd,Bennett Johnston Jr.,Louisiana,Democratic
92nd,Elaine S. Edwards,Louisiana,Democratic
92nd,Russell B. Long,Louisiana,Democratic
92nd,Edmund Muskie,Maine,Democratic
92nd,Margaret Chase Smith,Maine,Republican
92nd,Charles Mathias,Maryland,Republican
92nd,"John Glenn Beall, Jr.",Maryland,Republican
92nd,Edward Brooke,Massachusetts,Republican
92nd,Ted Kennedy,Massachusetts,Democratic
92nd,Philip Hart,Michigan,Democratic
92nd,Robert P. Griffin,Michigan,Republican
92nd,Hubert Humphrey,Minnesota,Democratic
92nd,Walter Mondale,Minnesota,Democratic
92nd,James Eastland,Mississippi,Democratic
92nd,John C. Stennis,Mississippi,Democratic
92nd,Stuart Symington,Missouri,Democratic
92nd,Thomas Eagleton,Missouri,Democratic
92nd,Lee Metcalf,Montana,Democratic
92nd,Mike Mansfield,Montana,Democratic
92nd,Carl Curtis,Nebraska,Republican
92nd,Roman Hruska,Nebraska,Republican
92nd,Alan Bible,Nevada,Democratic
92nd,Howard Cannon,Nevada,Democratic
92nd,Norris Cotton,New Hampshire,Republican
92nd,Thomas J. McIntyre,New Hampshire,Democratic
92nd,Clifford P. Case,New Jersey,Republican
92nd,Harrison A. Williams,New Jersey,Democratic
92nd,Clinton Anderson,New Mexico,Democratic
92nd,Joseph Montoya,New Mexico,Democratic
92nd,Jacob K. Javits,New York,Republican
92nd,James L. Buckley,New York,C/R
92nd,Ben Jordan,North Carolina,Democratic
92nd,Sam Ervin,North Carolina,Democratic
92nd,Milton Young,North Dakota,Republican
92nd,Quentin Northrup Burdick,North Dakota,Democratic
92nd,"Robert Taft, Jr.",Ohio,Republican
92nd,William B. Saxbe,Ohio,Republican
92nd,Fred R. Harris,Oklahoma,Democratic
92nd,Henry Bellmon,Oklahoma,Republican
92nd,Bob Packwood,Oregon,Republican
92nd,Mark Hatfield,Oregon,Republican
92nd,Hugh Scott,Pennsylvania,Republican
92nd,Richard Schweiker,Pennsylvania,Republican
92nd,Claiborne Pell,Rhode Island,Democratic
92nd,John O. Pastore,Rhode Island,Democratic
92nd,Ernest Hollings,South Carolina,Democratic
92nd,Strom Thurmond,South Carolina,Republican
92nd,George McGovern,South Dakota,Democratic
92nd,Karl Mundt,South Dakota,Republican
92nd,Bill Brock,Tennessee,Republican
92nd,Howard Baker,Tennessee,Republican
92nd,John Tower,Texas,Republican
92nd,Lloyd Bentsen,Texas,Democratic
92nd,Frank Moss,Utah,Democratic
92nd,Wallace F. Bennett,Utah,Republican
92nd,George Aiken,Vermont,Republican
92nd,Robert Stafford,Vermont,Republican
92nd,Winston L. Prouty,Vermont,Republican
92nd,"Harry F. Byrd, Jr.",Virginia,Independent
92nd,"William B. Spong, Jr.",Virginia,Democratic
92nd,Henry M. Jackson,Washington,Democratic
92nd,Warren G. Magnuson,Washington,Democratic
92nd,Jennings Randolph,West Virginia,Democratic
92nd,Robert Byrd,West Virginia,Democratic
92nd,Gaylord Nelson,Wisconsin,Democratic
92nd,William Proxmire,Wisconsin,Democratic
92nd,Clifford Hansen,Wyoming,Republican
92nd,Gale W. McGee,Wyoming,Democratic
91st,James Allen,Alabama,Democratic
91st,John Sparkman,Alabama,Democratic
91st,Mike Gravel,Alaska,Democratic
91st,Ted Stevens,Alaska,Republican
91st,Barry Goldwater,Arizona,Republican
91st,Paul Fannin,Arizona,Republican
91st,J. William Fulbright,Arkansas,Democratic
91st,John Little McClellan,Arkansas,Democratic
91st,Alan Cranston,California,Democratic
91st,George Murphy,California,Republican
91st,John V. Tunney,California,Democratic
91st,Gordon L. Allott,Colorado,Republican
91st,Peter H. Dominick,Colorado,Republican
91st,Abraham A. Ribicoff,Connecticut,Democratic
91st,Thomas J. Dodd,Connecticut,Democratic
91st,Bill Roth,Delaware,Republican
91st,James Boggs,Delaware,Republican
91st,John J. Williams,Delaware,Republican
91st,Edward J. Gurney,Florida,Republican
91st,Spessard Holland,Florida,Democratic
91st,Herman Talmadge,Georgia,Democratic
91st,"Richard Russell, Jr.",Georgia,Democratic
91st,Daniel Inouye,Hawaii,Democratic
91st,Hiram Fong,Hawaii,Republican
91st,Frank Church,Idaho,Democratic
91st,Leonard B. Jordan,Idaho,Republican
91st,Adlai Stevenson III,Illinois,Democratic
91st,Charles H. Percy,Illinois,Republican
91st,Everett Dirksen,Illinois,Republican
91st,Ralph Smith,Illinois,Republican
91st,Birch Bayh,Indiana,Democratic
91st,Vance Hartke,Indiana,Democratic
91st,Harold Hughes,Iowa,Democratic
91st,Jack Miller,Iowa,Republican
91st,Bob Dole,Kansas,Republican
91st,James B. Pearson,Kansas,Republican
91st,John Sherman Cooper,Kentucky,Republican
91st,Marlow Cook,Kentucky,Republican
91st,Allen J. Ellender,Louisiana,Democratic
91st,Russell B. Long,Louisiana,Democratic
91st,Edmund Muskie,Maine,Democratic
91st,Margaret Chase Smith,Maine,Republican
91st,Charles Mathias,Maryland,Republican
91st,Joseph Tydings,Maryland,Democratic
91st,Edward Brooke,Massachusetts,Republican
91st,Ted Kennedy,Massachusetts,Democratic
91st,Philip Hart,Michigan,Democratic
91st,Robert P. Griffin,Michigan,Republican
91st,Eugene McCarthy,Minnesota,Democratic
91st,Walter Mondale,Minnesota,Democratic
91st,James Eastland,Mississippi,Democratic
91st,John C. Stennis,Mississippi,Democratic
91st,Stuart Symington,Missouri,Democratic
91st,Thomas Eagleton,Missouri,Democratic
91st,Lee Metcalf,Montana,Democratic
91st,Mike Mansfield,Montana,Democratic
91st,Carl Curtis,Nebraska,Republican
91st,Roman Hruska,Nebraska,Republican
91st,Alan Bible,Nevada,Democratic
91st,Howard Cannon,Nevada,Democratic
91st,Norris Cotton,New Hampshire,Republican
91st,Thomas J. McIntyre,New Hampshire,Democratic
91st,Clifford P. Case,New Jersey,Republican
91st,Harrison A. Williams,New Jersey,Democratic
91st,Clinton Anderson,New Mexico,Democratic
91st,Joseph Montoya,New Mexico,Democratic
91st,Charles Goodell,New York,Republican
91st,Jacob K. Javits,New York,Republican
91st,Ben Jordan,North Carolina,Democratic
91st,Sam Ervin,North Carolina,Democratic
91st,Milton Young,North Dakota,Republican
91st,Quentin Northrup Burdick,North Dakota,Democratic
91st,Stephen Young,Ohio,Democratic
91st,William B. Saxbe,Ohio,Republican
91st,Fred R. Harris,Oklahoma,Democratic
91st,Henry Bellmon,Oklahoma,Republican
91st,Bob Packwood,Oregon,Republican
91st,Mark Hatfield,Oregon,Republican
91st,Hugh Scott,Pennsylvania,Republican
91st,Richard Schweiker,Pennsylvania,Republican
91st,Claiborne Pell,Rhode Island,Democratic
91st,John O. Pastore,Rhode Island,Democratic
91st,Ernest Hollings,South Carolina,Democratic
91st,Strom Thurmond,South Carolina,Republican
91st,George McGovern,South Dakota,Democratic
91st,Karl Mundt,South Dakota,Republican
91st,"Albert Gore, Sr.",Tennessee,Democratic
91st,Howard Baker,Tennessee,Republican
91st,John Tower,Texas,Republican
91st,Ralph Yarborough,Texas,Democratic
91st,Frank Moss,Utah,Democratic
91st,Wallace F. Bennett,Utah,Republican
91st,George Aiken,Vermont,Republican
91st,Winston L. Prouty,Vermont,Republican
91st,"Harry F. Byrd, Jr.",Virginia,Democratic
91st,"William B. Spong, Jr.",Virginia,Democratic
91st,Henry M. Jackson,Washington,Democratic
91st,Warren G. Magnuson,Washington,Democratic
91st,Jennings Randolph,West Virginia,Democratic
91st,Robert Byrd,West Virginia,Democratic
91st,Gaylord Nelson,Wisconsin,Democratic
91st,William Proxmire,Wisconsin,Democratic
91st,Clifford Hansen,Wyoming,Republican
91st,Gale W. McGee,Wyoming,Democratic
90th,John Sparkman,Alabama,Democratic
90th,Joseph L. Hill,Alabama,Democratic
90th,Edward L. Bartlett,Alaska,Democratic
90th,Ernest Gruening,Alaska,Democratic
90th,Ted Stevens,Alaska,Republican
90th,Carl Hayden,Arizona,Democratic
90th,Paul Fannin,Arizona,Republican
90th,J. William Fulbright,Arkansas,Democratic
90th,John Little McClellan,Arkansas,Democratic
90th,George Murphy,California,Republican
90th,Thomas Kuchel,California,Republican
90th,Gordon L. Allott,Colorado,Republican
90th,Peter H. Dominick,Colorado,Republican
90th,Abraham A. Ribicoff,Connecticut,Democratic
90th,Thomas J. Dodd,Connecticut,Democratic
90th,James Boggs,Delaware,Republican
90th,John J. Williams,Delaware,Republican
90th,George Smathers,Florida,Democratic
90th,Spessard Holland,Florida,Democratic
90th,Herman Talmadge,Georgia,Democratic
90th,"Richard Russell, Jr.",Georgia,Democratic
90th,Daniel Inouye,Hawaii,Democratic
90th,Hiram Fong,Hawaii,Republican
90th,Frank Church,Idaho,Democratic
90th,Leonard B. Jordan,Idaho,Republican
90th,Charles H. Percy,Illinois,Republican
90th,Everett Dirksen,Illinois,Republican
90th,Birch Bayh,Indiana,Democratic
90th,Vance Hartke,Indiana,Democratic
90th,Bourke B. Hickenlooper,Iowa,Republican
90th,Jack Miller,Iowa,Republican
90th,Frank Carlson,Kansas,Republican
90th,James B. Pearson,Kansas,Republican
90th,John Sherman Cooper,Kentucky,Republican
90th,Marlow Cook,Kentucky,Republican
90th,Thruston Ballard Morton,Kentucky,Republican
90th,Allen J. Ellender,Louisiana,Democratic
90th,Russell B. Long,Louisiana,Democratic
90th,Edmund Muskie,Maine,Democratic
90th,Margaret Chase Smith,Maine,Republican
90th,Daniel Brewster,Maryland,Democratic
90th,Joseph Tydings,Maryland,Democratic
90th,Edward Brooke,Massachusetts,Republican
90th,Ted Kennedy,Massachusetts,Democratic
90th,Philip Hart,Michigan,Democratic
90th,Robert P. Griffin,Michigan,Republican
90th,Eugene McCarthy,Minnesota,Democratic
90th,Walter Mondale,Minnesota,Democratic
90th,James Eastland,Mississippi,Democratic
90th,John C. Stennis,Mississippi,Democratic
90th,Edward V. Long,Missouri,Democratic
90th,Stuart Symington,Missouri,Democratic
90th,Thomas Eagleton,Missouri,Democratic
90th,Lee Metcalf,Montana,Democratic
90th,Mike Mansfield,Montana,Democratic
90th,Carl Curtis,Nebraska,Republican
90th,Roman Hruska,Nebraska,Republican
90th,Alan Bible,Nevada,Democratic
90th,Howard Cannon,Nevada,Democratic
90th,Norris Cotton,New Hampshire,Republican
90th,Thomas J. McIntyre,New Hampshire,Democratic
90th,Clifford P. Case,New Jersey,Republican
90th,Harrison A. Williams,New Jersey,Democratic
90th,Clinton Anderson,New Mexico,Democratic
90th,Joseph Montoya,New Mexico,Democratic
90th,Charles Goodell,New York,Republican
90th,Jacob K. Javits,New York,Republican
90th,Robert F. Kennedy,New York,Democratic
90th,B. Everett Jordan,North Carolina,Democratic
90th,Sam Ervin,North Carolina,Democratic
90th,Milton Young,North Dakota,Republican
90th,Quentin Northrup Burdick,North Dakota,Democratic
90th,Frank J. Lausche,Ohio,Democratic
90th,Stephen Young,Ohio,Democratic
90th,Almer Monroney,Oklahoma,Democratic
90th,Fred R. Harris,Oklahoma,Democratic
90th,Mark Hatfield,Oregon,Republican
90th,Wayne Morse,Oregon,Democratic
90th,Hugh Scott,Pennsylvania,Republican
90th,Joseph S. Clark,Pennsylvania,Democratic
90th,Claiborne Pell,Rhode Island,Democratic
90th,John O. Pastore,Rhode Island,Democratic
90th,Ernest Hollings,South Carolina,Democratic
90th,Strom Thurmond,South Carolina,Republican
90th,George McGovern,South Dakota,Democratic
90th,Karl Mundt,South Dakota,Republican
90th,"Albert Gore, Sr.",Tennessee,Democratic
90th,Howard Baker,Tennessee,Republican
90th,John Tower,Texas,Republican
90th,Ralph Yarborough,Texas,Democratic
90th,Frank Moss,Utah,Democratic
90th,Wallace F. Bennett,Utah,Republican
90th,George Aiken,Vermont,Republican
90th,Winston L. Prouty,Vermont,Republican
90th,"Harry F. Byrd, Jr.",Virginia,Democratic
90th,"William B. Spong, Jr.",Virginia,Democratic
90th,Henry M. Jackson,Washington,Democratic
90th,Warren G. Magnuson,Washington,Democratic
90th,Jennings Randolph,West Virginia,Democratic
90th,Robert Byrd,West Virginia,Democratic
90th,Gaylord Nelson,Wisconsin,Democratic
90th,William Proxmire,Wisconsin,Democratic
90th,Clifford Hansen,Wyoming,Republican
90th,Gale W. McGee,Wyoming,Democratic
89th,John Sparkman,Alabama,Democratic
89th,Joseph L. Hill,Alabama,Democratic
89th,Edward L. Bartlett,Alaska,Democratic
89th,Ernest Gruening,Alaska,Democratic
89th,Carl Hayden,Arizona,Democratic
89th,Paul Fannin,Arizona,Republican
89th,J. William Fulbright,Arkansas,Democratic
89th,John Little McClellan,Arkansas,Democratic
89th,George Murphy,California,Republican
89th,Thomas Kuchel,California,Republican
89th,Gordon L. Allott,Colorado,Republican
89th,Peter H. Dominick,Colorado,Republican
89th,Abraham A. Ribicoff,Connecticut,Democratic
89th,Thomas J. Dodd,Connecticut,Democratic
89th,James Boggs,Delaware,Republican
89th,John J. Williams,Delaware,Republican
89th,George Smathers,Florida,Democratic
89th,Spessard Holland,Florida,Democratic
89th,Herman Talmadge,Georgia,Democratic
89th,"Richard Russell, Jr.",Georgia,Democratic
89th,Daniel Inouye,Hawaii,Democratic
89th,Hiram Fong,Hawaii,Republican
89th,Frank Church,Idaho,Democratic
89th,Leonard B. Jordan,Idaho,Republican
89th,Everett Dirksen,Illinois,Republican
89th,Paul Douglas,Illinois,Democratic
89th,Birch Bayh,Indiana,Democratic
89th,Vance Hartke,Indiana,Democratic
89th,Bourke B. Hickenlooper,Iowa,Republican
89th,Jack Miller,Iowa,Republican
89th,Frank Carlson,Kansas,Republican
89th,James B. Pearson,Kansas,Republican
89th,John Sherman Cooper,Kentucky,Republican
89th,Thruston Ballard Morton,Kentucky,Republican
89th,Allen J. Ellender,Louisiana,Democratic
89th,Russell B. Long,Louisiana,Democratic
89th,Edmund Muskie,Maine,Democratic
89th,Margaret Chase Smith,Maine,Republican
89th,Daniel Brewster,Maryland,Democratic
89th,Joseph Tydings,Maryland,Democratic
89th,Leverett Saltonstall,Massachusetts,Republican
89th,Ted Kennedy,Massachusetts,Democratic
89th,Patrick V. McNamara,Michigan,Democratic
89th,Philip Hart,Michigan,Democratic
89th,Robert P. Griffin,Michigan,Republican
89th,Eugene McCarthy,Minnesota,Democratic
89th,Walter Mondale,Minnesota,Democratic
89th,James Eastland,Mississippi,Democratic
89th,John C. Stennis,Mississippi,Democratic
89th,Edward V. Long,Missouri,Democratic
89th,Stuart Symington,Missouri,Democratic
89th,Lee Metcalf,Montana,Democratic
